Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       69     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00       66     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00       65     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00       65     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.00     0.00       65     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned int)
  0.00      0.00     0.00       55     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.00     0.00       50     0.00     0.00  std::move_iterator<Task*>::base() const
  0.00      0.00     0.00       50     0.00     0.00  Task&& std::forward<Task>(std::remove_reference<Task>::type&)
  0.00      0.00     0.00       47     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00       40     0.00     0.00  Task* std::__addressof<Task>(Task&)
  0.00      0.00     0.00       35     0.00     0.00  Task::~Task()
  0.00      0.00     0.00       30     0.00     0.00  std::move_iterator<ClubMember*>::base() const
  0.00      0.00     0.00       30     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00       26     0.00     0.00  ClubMember&& std::forward<ClubMember>(std::remove_reference<ClubMember>::type&)
  0.00      0.00     0.00       25     0.00     0.00  Task::Task(Task&&)
  0.00      0.00     0.00       25     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00       25     0.00     0.00  void std::_Destroy<Task>(Task*)
  0.00      0.00     0.00       25     0.00     0.00  bool std::operator==<Task*>(std::move_iterator<Task*> const&, std::move_iterator<Task*> const&)
  0.00      0.00     0.00       25     0.00     0.00  bool std::operator!=<Task*>(std::move_iterator<Task*> const&, std::move_iterator<Task*> const&)
  0.00      0.00     0.00       24     0.00     0.00  std::vector<ClubMember, std::allocator<ClubMember> >::operator[](unsigned int)
  0.00      0.00     0.00       21     0.00     0.00  std::vector<Task, std::allocator<Task> >::size() const
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<Task*, std::vector<Task, std::allocator<Task> > >::base() const
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       20     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      0.00     0.00       20     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       20     0.00     0.00  std::move_iterator<Task*>::move_iterator(Task*)
  0.00      0.00     0.00       20     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.00     0.00       20     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<int*>(std::move_iterator<int*>)
  0.00      0.00     0.00       20     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      0.00     0.00       20     0.00     0.00  std::move_iterator<Task*> std::__make_move_if_noexcept_iterator<Task, std::move_iterator<Task*> >(Task*)
  0.00      0.00     0.00       20     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*)
  0.00      0.00     0.00       19     0.00     0.00  ClubMember* std::__addressof<ClubMember>(ClubMember&)
  0.00      0.00     0.00       17     0.00     0.00  ClubMember::~ClubMember()
  0.00      0.00     0.00       17     0.00     0.00  std::vector<ClubMember, std::allocator<ClubMember> >::size() const
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<ClubMember*, std::vector<ClubMember, std::allocator<ClubMember> > >::base() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<Task, std::allocator<Task> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       16     0.00     0.00  std::move_iterator<ClubMember*>::move_iterator(ClubMember*)
  0.00      0.00     0.00       16     0.00     0.00  std::move_iterator<ClubMember*> std::__make_move_if_noexcept_iterator<ClubMember, std::move_iterator<ClubMember*> >(ClubMember*)
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<Task>::max_size() const
  0.00      0.00     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00       15     0.00     0.00  std::move_iterator<Task*>::operator*() const
  0.00      0.00     0.00       15     0.00     0.00  std::move_iterator<Task*>::operator++()
  0.00      0.00     0.00       15     0.00     0.00  void std::_Construct<Task, Task>(Task*, Task&&)
  0.00      0.00     0.00       15     0.00     0.00  bool std::operator==<ClubMember*>(std::move_iterator<ClubMember*> const&, std::move_iterator<ClubMember*> const&)
  0.00      0.00     0.00       15     0.00     0.00  bool std::operator!=<ClubMember*>(std::move_iterator<ClubMember*> const&, std::move_iterator<ClubMember*> const&)
  0.00      0.00     0.00       14     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.00     0.00       13     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       12     0.00     0.00  ClubMember::ClubMember(ClubMember&&)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<ClubMember>::max_size() const
  0.00      0.00     0.00       12     0.00     0.00  void std::_Destroy<ClubMember>(ClubMember*)
  0.00      0.00     0.00       11     0.00     0.00  Club::factorial(int)
  0.00      0.00     0.00       10     0.00     0.00  Task::Task(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00       10     0.00     0.00  void __gnu_cxx::new_allocator<Task>::construct<Task, Task>(Task*, Task&&)
  0.00      0.00     0.00       10     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Task*, std::vector<Task, std::allocator<Task> > >::__normal_iterator(Task* const&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<Task, std::allocator<Task> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Task, std::allocator<Task> >::max_size() const
  0.00      0.00     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.00     0.00       10     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00       10     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.00     0.00       10     0.00     0.00  std::allocator_traits<std::allocator<Task> >::max_size(std::allocator<Task> const&)
  0.00      0.00     0.00       10     0.00     0.00  void std::allocator_traits<std::allocator<Task> >::construct<Task, Task>(std::allocator<Task>&, Task*, Task&&)
  0.00      0.00     0.00       10     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00       10     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.00     0.00       10     0.00     0.00  Task* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Task*>, Task*>(std::move_iterator<Task*>, std::move_iterator<Task*>, Task*)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00       10     0.00     0.00  void std::vector<Task, std::allocator<Task> >::emplace_back<Task>(Task&&)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Task, std::allocator<Task> >::push_back(Task&&)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00       10     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00       10     0.00     0.00  Task* std::uninitialized_copy<std::move_iterator<Task*>, Task*>(std::move_iterator<Task*>, std::move_iterator<Task*>, Task*)
  0.00      0.00     0.00       10     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
